PASAN Tester - Labo + TC 1.0.3; STC Performance
Pn 27 maja 2019;09:36
Operator;Manufacturer;Module type;Serial number;Module ID code
;AAA;;;
Cell area (cm²);Module area (cm²);Cells in parallel;Cells in series
153,60;11934,0;1;72
Reference cell;Calibration value (mV/kW/m²);Current range;Voltage range;Ref cell temp (°C)
MTP 1738-7;104,5;10,0;100,0;20,6
Filter name;Attenuation (%)
;100,0
Mean irradiance (kW/m²);Cell efficiency (%);Module efficiency (%);Fill factor (%)
0,999;10,4;9,6;68,0
Pmax;Module temperature (°C)
114,813;20,6
Module voltage
Voc;Vmp;Series resistance
31,666;23,236;1,3596
Module current
Isc;Imp;Shunt resistance
5,330;4,941;652,3
Observations

Number of samples;Total time[us]
100;4000,0
Time[us]; Umeas[V]; Imeas[V]; Irrad.[kW/m²]; Ucorr.[V]; Icorr.[A]; Pcorr.[W]
0,0;0,635;5,186;0,973;-0,118;5,334;-0,6298
40,0;0,684;5,210;0,976;-0,047;5,342;-0,2513
80,0;-1,904;5,586;0,979;-2,606;5,697;-14,8432
120,0;-2,881;7,476;0,981;-3,567;7,576;-27,0261
160,0;-2,783;7,686;0,983;-3,455;7,775;-26,8646
200,0;-2,637;6,216;0,985;-3,294;6,295;-20,7361
240,0;-1,904;5,303;0,987;-2,547;5,371;-13,6819
280,0;-1,416;5,273;0,988;-2,052;5,336;-10,9498
320,0;-0,781;5,278;0,989;-1,410;5,336;-7,5236
360,0;-0,244;5,283;0,990;-0,866;5,335;-4,6191
400,0;0,342;5,288;0,991;-0,273;5,335;-1,4546
440,0;1,025;5,293;0,992;0,418;5,335;2,2304
480,0;1,660;5,288;0,992;1,053;5,330;5,6115
520,0;2,246;5,293;0,993;1,646;5,329;8,7719
560,0;2,881;5,293;0,994;2,288;5,324;12,1808
600,0;3,467;5,293;0,994;2,874;5,324;15,3004
640,0;4,053;5,298;0,995;3,467;5,324;18,4567
680,0;4,785;5,298;0,995;4,199;5,324;22,3561
720,0;5,322;5,298;0,996;4,743;5,319;25,2286
760,0;5,957;5,303;0,996;5,378;5,324;28,6310
800,0;6,592;5,303;0,997;6,020;5,318;32,0165
840,0;7,178;5,303;0,997;6,606;5,318;35,1328
880,0;7,861;5,303;0,998;7,297;5,313;38,7680
920,0;8,447;5,308;0,998;7,883;5,318;41,9197
960,0;9,033;5,308;0,998;8,468;5,318;45,0358
1000,0;9,668;5,308;0,998;9,103;5,318;48,4115
1040,0;10,254;5,308;0,999;9,696;5,313;51,5148
1080,0;10,986;5,308;0,999;10,429;5,313;55,4061
1120,0;11,523;5,308;0,999;10,966;5,313;58,2597
1160,0;12,109;5,308;0,999;11,552;5,313;61,3727
1200,0;12,646;5,313;0,999;12,089;5,318;64,2853
1240,0;13,281;5,313;1,000;12,731;5,313;67,6324
1280,0;14,063;5,313;1,000;13,512;5,313;71,7829
1320,0;14,600;5,308;1,000;14,049;5,308;74,5677
1360,0;15,234;5,308;1,000;14,684;5,308;77,9369
1400,0;15,869;5,308;1,000;15,318;5,308;81,3061
1440,0;16,504;5,308;1,000;15,953;5,308;84,6752
1480,0;17,139;5,303;1,001;16,595;5,298;87,9149
1520,0;17,725;5,293;1,001;17,181;5,288;90,8513
1560,0;18,311;5,293;1,001;17,767;5,288;93,9497
1600,0;18,945;5,288;1,001;18,402;5,283;97,2164
1640,0;19,580;5,288;1,001;19,036;5,283;100,5699
1680,0;20,166;5,273;1,001;19,622;5,268;103,3780
1720,0;20,752;5,259;1,001;20,208;5,254;106,1689
1760,0;21,387;5,229;1,001;20,843;5,224;108,8931
1800,0;22,021;5,186;1,001;21,478;5,180;111,2656
1840,0;22,607;5,127;1,001;22,064;5,122;113,0082
1880,0;23,193;5,034;1,001;22,650;5,029;113,9080
1920,0;23,779;4,946;1,001;23,236;4,941;114,8126
1960,0;24,365;4,775;1,001;23,822;4,770;113,6368
2000,0;24,951;4,624;1,002;24,415;4,614;112,6440
2040,0;25,537;4,336;1,002;25,000;4,326;108,1451
2080,0;26,074;4,175;1,002;25,538;4,165;106,3536
2120,0;26,660;3,862;1,002;26,123;3,852;100,6302
2160,0;27,197;3,594;1,002;26,661;3,584;95,5394
2200,0;27,783;3,198;1,002;27,247;3,188;86,8629
2240,0;28,418;2,764;1,002;27,881;2,753;76,7701
2280,0;28,906;2,471;1,002;28,370;2,460;69,8032
2320,0;29,492;2,051;1,002;28,956;2,041;59,0858
2360,0;30,029;1,646;1,002;29,493;1,635;48,2293
2400,0;30,615;1,113;1,002;30,079;1,103;33,1789
2440,0;31,152;0,708;1,002;30,616;0,698;21,3636
2480,0;31,689;0,264;1,002;31,153;0,253;7,8961
