"Tr A(WL),""Tr A(LEVEL)[LOG]"",""Tr B(WL)"",""Tr B(LEVEL)[LOG]"",""Tr C(WL)"",""Tr C(LEVEL)[LOG]"",""Tr D(WL)"",""Tr D(LEVEL)[LOG]"",""Tr E(WL)"",""Tr E(LEVEL)[LOG]"",""Tr F(WL)"",""Tr F(LEVEL)[LOG]"",""Tr G(WL)"",""Tr G(LEVEL)[LOG]"""
 700.0000, -68.446,  700.0000,-210.000,  , ,  , ,  , ,  , ,  , 
 700.2000, -68.412,  700.2000,-210.000,  , ,  , ,  , ,  , ,  , 
 700.4000, -68.337,  700.4000,-210.000,  , ,  , ,  , ,  , ,  , 
 700.6000, -68.333,  700.6000,-210.000,  , ,  , ,  , ,  , ,  , 
 700.8000, -68.362,  700.8000,-210.000,  , ,  , ,  , ,  , ,  , 
 701.0000, -68.419,  701.0000, -92.575,  , ,  , ,  , ,  , ,  , 
 701.2000, -68.492,  701.2000, -87.907,  , ,  , ,  , ,  , ,  , 
 701.4000, -68.498,  701.4000, -86.851,  , ,  , ,  , ,  , ,  , 
 701.6000, -68.502,  701.6000, -84.383,  , ,  , ,  , ,  , ,  , 
 701.8000, -68.559,  701.8000, -83.630,  , ,  , ,  , ,  , ,  , 
 702.0000, -68.590,  702.0000, -83.816,  , ,  , ,  , ,  , ,  , 
 702.2000, -68.578,  702.2000, -83.977,  , ,  , ,  , ,  , ,  , 
 702.4000, -68.578,  702.4000, -84.785,  , ,  , ,  , ,  , ,  , 
 702.6000, -68.551,  702.6000, -84.162,  , ,  , ,  , ,  , ,  , 
 702.8000, -68.502,  702.8000, -82.250,  , ,  , ,  , ,  , ,  , 
 703.0000, -68.497,  703.0000, -82.186,  , ,  , ,  , ,  , ,  , 
 703.2000, -68.483,  703.2000, -81.909,  , ,  , ,  , ,  , ,  , 
 703.4000, -68.498,  703.4000, -80.778,  , ,  , ,  , ,  , ,  , 
 703.6000, -68.522,  703.6000, -81.133,  , ,  , ,  , ,  , ,  , 
 703.8000, -68.479,  703.8000, -82.367,  , ,  , ,  , ,  , ,  , 
 704.0000, -68.499,  704.0000, -82.831,  , ,  , ,  , ,  , ,  , 
 704.2000, -68.567,  704.2000, -84.147,  , ,  , ,  , ,  , ,  , 
 704.4000, -68.596,  704.4000, -84.120,  , ,  , ,  , ,  , ,  , 
 704.6000, -68.614,  704.6000, -83.286,  , ,  , ,  , ,  , ,  , 
 704.8000, -68.647,  704.8000, -83.515,  , ,  , ,  , ,  , ,  , 
 705.0000, -68.635,  705.0000, -83.040,  , ,  , ,  , ,  , ,  , 
 705.2000, -68.598,  705.2000, -82.983,  , ,  , ,  , ,  , ,  , 
 705.4000, -68.562,  705.4000, -86.239,  , ,  , ,  , ,  , ,  , 
 705.6000, -68.530,  705.6000, -87.573,  , ,  , ,  , ,  , ,  , 
 705.8000, -68.568,  705.8000, -89.858,  , ,  , ,  , ,  , ,  , 
 706.0000, -68.527,  706.0000,-210.000,  , ,  , ,  , ,  , ,  , 
 706.2000, -68.441,  706.2000, -89.813,  , ,  , ,  , ,  , ,  , 
 706.4000, -68.420,  706.4000, -84.594,  , ,  , ,  , ,  , ,  , 
 706.6000, -68.419,  706.6000, -85.655,  , ,  , ,  , ,  , ,  , 
 706.8000, -68.422,  706.8000, -90.092,  , ,  , ,  , ,  , ,  , 
 707.0000, -68.473,  707.0000,-210.000,  , ,  , ,  , ,  , ,  , 
 707.2000, -68.517,  707.2000,-210.000,  , ,  , ,  , ,  , ,  , 
 707.4000, -68.524,  707.4000,-210.000,  , ,  , ,  , ,  , ,  , 
 707.6000, -68.512,  707.6000,-210.000,  , ,  , ,  , ,  , ,  , 
 707.8000, -68.456,  707.8000,-210.000,  , ,  , ,  , ,  , ,  , 
 708.0000, -68.420,  708.0000, -93.344,  , ,  , ,  , ,  , ,  , 
 708.2000, -68.469,  708.2000, -94.747,  , ,  , ,  , ,  , ,  , 
 708.4000, -68.551,  708.4000,-210.000,  , ,  , ,  , ,  , ,  , 
 708.6000, -68.549,  708.6000,-210.000,  , ,  , ,  , ,  , ,  , 
 708.8000, -68.512,  708.8000,-210.000,  , ,  , ,  , ,  , ,  , 
 709.0000, -68.467,  709.0000,-210.000,  , ,  , ,  , ,  , ,  , 
 709.2000, -68.408,  709.2000, -90.640,  , ,  , ,  , ,  , ,  , 
 709.4000, -68.419,  709.4000, -86.964,  , ,  , ,  , ,  , ,  , 
 709.6000, -68.423,  709.6000,-132.399,  , ,  , ,  , ,  , ,  , 
 709.8000, -68.388,  709.8000,-210.000,  , ,  , ,  , ,  , ,  , 
 710.0000, -68.376,  710.0000,-210.000,  , ,  , ,  , ,  , ,  , 
 710.2000, -68.360,  710.2000,-210.000,  , ,  , ,  , ,  , ,  , 
 710.4000, -68.398,  710.4000,-210.000,  , ,  , ,  , ,  , ,  , 
 710.6000, -68.513,  710.6000,-210.000,  , ,  , ,  , ,  , ,  , 
 710.8000, -68.560,  710.8000,-210.000,  , ,  , ,  , ,  , ,  , 
 711.0000, -68.535,  711.0000,-210.000,  , ,  , ,  , ,  , ,  , 
 711.2000, -68.582,  711.2000,-210.000,  , ,  , ,  , ,  , ,  , 
 711.4000, -68.626,  711.4000,-210.000,  , ,  , ,  , ,  , ,  , 
 711.6000, -68.682,  711.6000,-210.000,  , ,  , ,  , ,  , ,  , 
 711.8000, -68.720,  711.8000,-210.000,  , ,  , ,  , ,  , ,  , 
 712.0000, -68.726,  712.0000,-210.000,  , ,  , ,  , ,  , ,  , 
 712.2000, -68.705,  712.2000,-210.000,  , ,  , ,  , ,  , ,  , 
 712.4000, -68.626,  712.4000,-210.000,  , ,  , ,  , ,  , ,  , 
 712.6000, -68.585,  712.6000,-210.000,  , ,  , ,  , ,  , ,  , 
 712.8000, -68.584,  712.8000,-210.000,  , ,  , ,  , ,  , ,  , 
 713.0000, -68.568,  713.0000,-210.000,  , ,  , ,  , ,  , ,  , 
 713.2000, -68.600,  713.2000,-210.000,  , ,  , ,  , ,  , ,  , 
 713.4000, -68.593,  713.4000,-210.000,  , ,  , ,  , ,  , ,  , 
 713.6000, -68.508,  713.6000,-210.000,  , ,  , ,  , ,  , ,  , 
 713.8000, -68.524,  713.8000,-210.000,  , ,  , ,  , ,  , ,  , 
 714.0000, -68.550,  714.0000,-210.000,  , ,  , ,  , ,  , ,  , 
 714.2000, -68.576,  714.2000,-210.000,  , ,  , ,  , ,  , ,  , 
 714.4000, -68.632,  714.4000,-210.000,  , ,  , ,  , ,  , ,  , 
 714.6000, -68.633,  714.6000,-210.000,  , ,  , ,  , ,  , ,  , 
 714.8000, -68.600,  714.8000,-210.000,  , ,  , ,  , ,  , ,  , 
 715.0000, -68.601,  715.0000,-210.000,  , ,  , ,  , ,  , ,  , 
